id,nutriScore,kcal,sodium,sugars,carbs,protein,fat,saturates,fibre
-297529017418066210,60.0,356.4,0.14072,25.94,34.59,34.21,10.16,5.15,2.6
2984524080050943643,69.09,368.5,1.55038,10.12,40.6,26.65,8.26,6.1,7.54
-134860378839050690,69.09,368.5,1.55038,10.12,40.6,26.65,8.26,6.1,7.54
-6989815825829559279,81.82,505.25,0.28775,6.25,15.25,54.5,21.5,3.25,8.75
1662862941331579196,72.73,115.0,0.002,23.0,25.0,0.0,0.0,0.0,5.0
6525688955145446406,80.0,58.0,0.001,0.0,0.0,1.0,3.0,0.0,4.0
-7950659694363478456,61.82,397.0,1.428,0.0,1.0,28.0,29.0,10.0,0.0
6646347900262682700,80.0,58.32,0.00192,0.0,0.93,1.98,3.69,0.4,4.13
